Reference, Quantity, Value, Footprint, Datasheet, Mfg_code, BOM
C1 C11 ,2,10u/25V,capacitor:C_0805_reflow,,TMK212BBJ106KG-T,
C10 C2 C6 C7 C8 C9 ,6,100n,capacitor:C_0805_reflow,,C0805C104K5RACTU,
C12 C13 C3 ,3,4u7/25V,capacitor:C_0805_reflow,,CL21A475KAQNNNG,
C4 C5 ,2,15pF,capacitor:C_0805_reflow,,CL21C150JBANNNC,
D1 D3 ,2,1N4148,Diodes:SOD-80A,,LL4148,
D2 ,1,S1DB,Diodes_SMD:D_SMB_Handsoldering,,S1DB-13-F,
F2 ,1,Polyfuse 1.1A-hold 2.2A-trip,Resistors_SMD:R_1812,,0ZCG0110BF2B,
J1 ,1,AUX Ctrl,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,
LCD1 ,1,LUMEX_LCD_S2X1C50TR,lcd:LUMEX_LCD_S2X1C50TR,,LCD-S2X1C50TR,
LS1 ,1,piezo,buzzer:MagneticBuzzer_StarMicronics_HMB-06_HMB-12,,PT-1340P-PQ,
P1 ,1,serial,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,,PRPC004SBAN-M71RC,
P3 ,1,Atmel-ICE,myconnectors:Atmel_ICE,,3220-10-0100-00,
P2 P4 P5 P6 P7 P9 ,6,(faston male 6.35mm),myconnectors:faston_m_63,http://www.digikey.nl/product-detail/en/te-connectivity-amp-connectors/1217861-1/A100452TR-ND/1148769,1217861-1,
Q10 Q2 Q5 ,3,MMBT3906,TO_SOT_Packages_SMD:SOT-23,,MMBT3906LT3G,
Q1 Q11 Q12 Q13 Q3 Q4 Q6 Q8 Q9 ,9,MMBT3904,TO_SOT_Packages_SMD:SOT-23,,MMBT3904LT3G,
Q7 ,1,PSMN7R5-60YLX,TO_SOT_Packages_SMD:TDSON-8-1_HandSoldering,,PSMN7R5-60YLX,
R15 R16 R30 R33 R35 R6 ,6,4k7,resistor:R_0805_reflow,,RMCF0805FT4K70,
R13 R14 R17 R22 R24 R26 R37 R4 R7 ,9,100k,resistor:R_0805_reflow,,RMCF0805FT100K,
R1 R11 R19 R2 R25 R29 R38 ,7,150,resistor:R_0805_reflow,,RMCF0805FT150R,
R28 ,1,3k,resistor:R_0805_reflow,,RMCF0805FT3K00,
R10 R12 R18 R23 R27 R3 R31 R32 R36 R8 R9 ,11,10k,resistor:R_0805_reflow,,RMCF0805FT10K0,
R34 ,1,1M,resistor:R_0805_reflow,,RMCF0805JT1M00,
R20 R21 R5 ,3,1k,resistor:R_0805_reflow,,RMCF0805FT1K00,
SW1 SW10 SW11 SW12 SW2 SW3 SW4 SW5 SW6 SW7 SW8 SW9 ,12,button,myconnectors:SW_SPST_keypad,
TP1 TP3 TP5 TP6 TP7 TP8 ,6,TP,Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,
TP9 ,1,GND,Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,
U2 ,1,LM358,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,LM358ADT,
U3 ,1,ATSAMD11D14A-M,Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm,http://www.atmel.com/Images/Atmel-42363-SAM-D11_Datasheet.pdf,ATSAMD11D14A-MUT,MCU ATMEL ATSAMD11D14A-M
U4 U5 ,2,74HC595,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,,MM74HC595M,
U1 U6 ,2,HT7533,TO_SOT_Packages_SMD:SOT-89-3_Handsoldering,
Y1 ,1,32.768kHz,xtal:Crystal_SMD_Abracon_4pin_32768khz,,ABS25-32.768KHZ-T,
ZD1 ,1,ESDA6V1W5,TO_SOT_Packages_SMD:SOT-353_SC-70-5_Handsoldering,,ESDA6V1W5,
